code_id,date,party,sentence,aggr_coder1,aggr_coder2,infl_coder1,infl_coder2,notes
S020,2016-10-19,Dem,He choked and then got into a Twitter war because the Mexican president said we’re not paying for that wall.,1,1,0,1,
S021,2012-10-16,Rep,"Number two, we’re going to have to stop illegal immigration.",0,0,0,0,
S022,2020-09-29,Rep,"I paid $38 million one year, I paid $27 million one year.",0,0,0,0,
S023,2016-10-04,Rep,"That reset resulted in the invasion of Ukraine, after they’d infiltrated with what are called little green men, Russian soldiers that were dressing up like Ukrainian dissidents, and then they moved all the way into Crimea, took over the Crimean Peninsula.",0,0,0,0,
S024,2012-10-22,Rep,"I couldn’t agree more about going forward, but I certainly don’t want to go back to the policies of the last four years.",0,0,0,0,
S025,2016-10-04,Dem,"They made an illegal contribution, and then they tried to hide it by disguising it to somebody else.",1,1,0,0,
S026,2020-10-22,Rep,"As president and as somebody that knows most of those people, I could call the heads of Wall Street, the heads of every company in America, I would blow away every record.",0,0,0,0,
S027,2020-10-22,Dem,"Who’s going to tell her, she can’t go back to community college?",0,0,0,0,
S028,2012-10-22,Rep,I want to bring it back and get back good jobs and rising take-home pay.,0,0,0,0,
S029,2020-10-22,Rep,"Only the really — I hate to say this — but those with the lowest IQ, they might come back.",0,1,1,1,
S030,2016-10-19,Dem,"But we need to get rid of them, get rid of their fighters.",0,1,0,0,
S031,2012-10-16,Dem,You know a major difference in this campaign is that Governor Romney feels comfortable having politicians in Washington decide the health care choices that women are making.,0,1,0,0,
S032,2008-10-07,Rep,"What would you do if you were the Israelis and the president of a country says that they are — they are determined to wipe you off the map, calls your country a stinking corpse?",0,0,1,1,
S033,2016-09-26,Rep,Typical politician.,1,1,0,1,
S034,2016-10-04,Dem,"If you don’t know the difference between dictatorship and leadership, then you got to go back to a fifth-grade civics class.",1,1,0,1,
S035,2008-10-07,Rep,And we’re going to have to eliminate those that aren’t working.,0,1,0,0,
S036,2016-10-04,Rep,"But I — Donald Trump has a plan that he laid out in Arizona, that will deal systemically with illegal immigration, beginning with border security, internal enforcement.",0,0,0,0,
S037,2016-10-09,Dem,"First, we’ve had Muslims in America since George Washington.",0,0,0,0,
S038,2020-10-22,Dem,"The fact is those frontline communities, it doesn’t matter what you’re paying them.",0,0,0,0,
S039,2016-10-19,Rep,They’ve been deported.,0,0,0,0,
S040,2012-10-03,Dem,That’s its most basic function.,0,0,0,0,
S041,2016-09-26,Rep,She does not have a…,0,0,0,0,
S042,2012-10-16,Rep,"Yeah, I’m not in favor of new pieces of legislation on — on guns and taking guns away or making certain guns illegal.",0,0,0,0,
S043,2016-10-04,Dem,Donald Trump during his campaign has called Mexicans rapists and criminals.,0,1,1,1,
S044,2020-09-29,Dem,"It is true, the reason I got in the race is when those people.",0,0,0,0,
S045,2012-10-16,Dem,Used to being interrupted.,0,1,0,0,
S046,2016-10-04,Dem,"We will focus on — and Hillary Clinton has rolled out a really comprehensive mental health reform package that she worked on with law enforcement professionals, and we will also fight the scourge of gun violence in the United States.",0,0,0,1,
S047,2008-10-15,Rep,They’re doing it all over America because they have to.,0,0,0,0,
S048,2016-09-26,Rep,"I also have a much better temperament than she has, you know?",1,1,0,0,
S049,2020-09-29,Dem,And he has no intention of doing anything about making it better for you all at home in terms of your health and your safety.,1,1,0,0,
S050,2016-10-19,Dem,"And we were talking about immigrants a few minutes ago, Chris.",0,0,0,0,
S051,2016-10-09,Rep,And it hasn’t been finished at all.,0,0,0,0,
S052,2016-10-09,Rep,"No, I didn’t say that at all.",0,0,0,0,
S053,2012-10-11,Dem,He’s spoken to Bibi Netanyahu as much as he’s spoken to anybody.,0,0,0,0,
S054,2020-09-29,Dem,"It’s only for those people who are so poor they qualify for Medicaid they can get that free in most States, except Governors who want to deny people who are poor Medicaid.",0,1,0,1,
S055,2016-09-26,Rep,"And in many cases, they’re illegally here, illegal immigrants.",0,0,0,0,
S056,2020-10-22,Rep,"You know what, North Korea, we’re not in a war.",0,0,0,0,
S057,2012-10-22,Dem,"And if we’re not making investments in education and basic research, which is not something that the private sector is doing at a sufficient pace right now and has never done, then we will lose the (inaudible) in things like clean energy technology.",0,0,0,0,
S058,2016-10-19,Rep,"But we have some bad hombres here, and we’re going to get them out.",0,1,1,1,
S059,2012-10-16,Dem,That’s not the kind of advocacy that women need.,0,0,0,0,
S060,2012-10-11,Rep,"After my dad died, my mom and I got Social Security survivors benefits, helped me pay for college, it helped her go back to college in her 50s where she started a small business because of the new skills she got.",0,0,0,0,
S061,2016-10-04,Dem,"He built a business career, in the words of one of his own campaign staffers, “off the backs of the little guy.” And as a candidate, he started his campaign with a speech where he called Mexicans rapists and criminals, and he has pursued the discredited and really outrageous lie that President Obama wasn’t born in the United States.",1,1,1,1,
S062,2008-10-07,Rep,"I left my campaign and suspended it to go back to Washington to make sure that there were additional protections for the taxpayer in the form of good oversight, in the form of taxpayers being the first to be paid back when our economy recovers — and it will recover — and a number of other measures.",0,0,0,0,
S063,2016-09-26,Rep,People are pouring into our country.,0,0,0,1,
S064,2016-10-09,Dem,"And what he has said about African-Americans and Latinos, about Muslims, about POWs, about immigrants, about people with disabilities, he’s never apologized for.",0,1,1,1,
S065,2016-10-19,Rep,But we don’t use those people.,0,0,0,0,
S066,2016-09-26,Rep,"And I will tell you, you look at the inner cities—and I just left Detroit, and I just left Philadelphia, and I just—you know, you’ve seen me, I’ve been all over the place.",0,0,0,0,
S067,2016-10-04,Dem,Great line from the — great line from the gospel of Matthew.,0,0,0,0,
S068,2020-09-29,Rep,"And they’re going to dominate you, Joe.",1,1,0,1,
S069,2016-09-26,Rep,They were choking on the sanctions.,0,0,0,0,
S070,2020-10-22,Dem,"What I’d make China do is play by the international rules, not like he has done.",0,1,0,0,
S071,2012-10-16,Rep,"Now when the president ran for office, he said that he’d put in place, in his first year, a piece of legislation — he’d file a bill in his first year that would reform our — our immigration system, protect legal immigration, stop illegal immigration.",0,0,0,0,
S072,2016-10-09,Rep,And I’m bringing them down to one of the lower in the world.,0,0,0,0,
S073,2008-10-15,Dem,"But what is absolutely true is that, once we get through this economic crisis and some of the specific proposals to get us out of this slump, that we’re not going to be able to go back to our profligate ways.",0,0,0,0,
S074,2016-10-19,Dem,"Well, he held a number of big rallies where he said that he could not possibly have done those things to those women because they were not attractive enough for them to be assaulted.",0,1,1,1,
S075,2016-10-19,Dem,Google “Donald Trump Iraq.” And you will see the dozens of sources which verify that he was for the invasion of Iraq.,1,1,0,0,
S076,2016-10-19,Dem,Google “Donald Trump Iraq.” And you will see the dozens of sources which verify that he was for the invasion of Iraq.,1,1,0,0,
S077,2016-10-19,Dem,And this used to be a bipartisan issue.,0,0,0,0,
S078,2012-10-11,Dem,Are they proposing putting American troops on the ground?,0,0,0,0,
S079,2016-10-04,Rep,There’s a question that you asked a little bit earlier that I want to go back to.,0,0,0,0,
S080,2020-09-29,Rep,We have to go back to the core values of this country.,0,0,0,0,
S081,2020-09-29,Rep,"You look at, uh, Ferguson, you look at, or you go to very…many places.",0,0,0,0,
S082,2020-10-22,Rep,I took care of Black colleges and universities.,0,0,0,0,
S083,2020-10-22,Rep,"Between the sanctions, nobody tougher than me on Russia.",0,0,0,0,
S084,2008-10-07,Rep,"Of course, we have to do some things tactically, some of which Senator Obama is correct on.",0,0,0,0,
S085,2016-10-04,Dem,"And to add to it, and to add to it, and to add to it, we are a nation of immigrants.",0,0,0,0,
S086,2008-10-15,Dem,"I don’t think America’s youth are interest groups, I think they’re our future.",0,0,0,0,
S087,2016-09-26,Dem,He has really started his political activity based on this racist lie that our first black president was not an American citizen.,1,1,1,1,
S088,2016-10-19,Rep,You talk about women and women’s rights?,1,1,0,0,
S089,2016-10-09,Dem,That’s where the vast majority of people get their health care.,0,0,0,0,
S090,2012-10-11,Dem,I’d like to go back to that.,0,0,0,0,
S091,2016-10-19,Rep,And all you have to do is look at the Middle East.,0,0,0,0,
S092,2016-09-26,Rep,"We should be better than anybody else, and perhaps we’re not.",0,0,0,0,
S093,2012-10-16,Dem,"George Bush never suggested that we eliminate funding for Planned Parenthood, so there are differences between Governor Romney and George Bush, but they’re not on economic policy.",0,0,0,0,
S094,2020-09-29,Dem,"Close your eyes, remember what those people look like coming out of the fields, carrying torches, their veins bulging, spewing–just spewing anti-Semitic bile and accompanied by the Ku Klux Klan.",0,0,1,1,
S095,2016-10-04,Rep,"And then she labeled one after another “ism” on millions of Americans who believe that we can have a stronger America at home and abroad, who believe we can get this economy moving again, who believe that we can end illegal immigration once and for all.",1,1,0,1,
S096,2012-10-16,Rep,"Number two, we’re going to have to stop illegal immigration.",0,0,0,0,
S097,2020-10-22,Dem,"Who’s going to tell her, she can’t go back to community college?",0,0,0,0,
S098,2008-10-07,Dem,Nobody called for the invasion of Pakistan.,0,0,0,0,
S099,2012-10-11,Rep,"Job growth in September was slower than it was in August, and August was slower than it was in July.",0,0,0,0,
S100,2016-10-09,Dem,"To go back to the very, very first question.",0,0,0,0,
S101,2016-10-09,Rep,"Let me tell you, I’m going to force them right back into their country.",0,1,0,1,
S102,2020-09-29,Dem,"Secondly, the people who have lost their jobs are those people who have been on the front lines.",0,0,0,0,
S103,2012-10-03,Dem,"And the reason is because of its people, because of the woman I met in North Carolina who decided at 55 to go back to school because she wanted to inspire her daughter and now has a job from that new training that she’s gotten; because a company in Minnesota who was willing to give up salaries and perks for their executives to make sure that they didn’t lay off workers during a recession.",0,0,0,0,
S104,2016-10-04,Dem,"But I think it is really, really important that those of us who have deep faith lives don’t feel like we could just substitute our own views for everybody else in society, regardless of their views.",0,0,0,0,
S105,2016-10-04,Rep,We’re going to — we’re going to go back to the days of peace through strength.,0,0,0,0,
S106,2020-10-22,Dem,Let’s talk about what we’re talking about.,0,0,0,0,
S107,2012-10-11,Dem,East is the most dangerous place in the world.,0,0,0,1,
S108,2016-10-04,Dem,It’s your two minutes.,0,0,0,0,
S109,2016-09-26,Rep,"She’s got experience, but it’s bad experience.",1,1,0,0,
S110,2016-10-09,Dem,And we’ve had many successful Muslims.,0,0,0,0,
S111,2016-10-19,Dem,"But when it comes to Haiti, Haiti is the poorest country in our hemisphere.",0,0,0,0,
S112,2012-10-03,Rep,"I interpret that as, one, making sure that those people who are less fortunate and can’t care for themselves are cared by — by one another.",0,0,0,0,
S113,2008-10-15,Dem,"That’s an example of, I think, the kind of use of the scalpel that we want to make sure that we’re funding some of those programs.",0,0,0,0,
S114,2016-10-04,Rep,But let me go back to this Iran thing.,0,0,0,0,
S115,2020-09-29,Dem,"It is true, the reason I got in the race is when those people.",0,0,0,0,
S116,2016-10-19,Dem,"And, you know, one of the biggest problems we have with China is the illegal dumping of steel and aluminum into our markets.",0,1,0,0,
S117,2012-10-22,Rep,"I couldn’t agree more about going forward, but I certainly don’t want to go back to the policies of the last four years.",0,0,0,0,
S118,2020-09-29,Rep,"If you were a certain person, you had no status in life.",0,0,0,0,
S119,2012-10-11,Rep,"Look, we can grow this economy faster.",0,0,0,0,
S120,2012-10-16,Dem,The last thing we need to do is to go back to the very same policies that got us there.,0,0,0,0,
S121,2016-10-19,Dem,"… before the invasion, he supported it.",0,1,0,0,
S122,2008-10-07,Dem,I think they’ve engaged in an evil behavior and I think that it is important that we understand they’re not the old Soviet Union but they still have nationalist impulses that I think are very dangerous.,0,1,1,1,
S123,2020-09-29,Rep,We don’t like ’em.,0,0,0,0,
S124,2016-10-09,Rep,We’re also letting drugs pour through our southern border at a record clip.,0,0,0,1,
S125,2012-10-03,Dem,"Now, if you take such an unbalanced approach, then that means you are going to be gutting our investments in schools and education.",1,1,0,1,
S126,2016-10-09,Rep,"And honestly, you ought to be ashamed of yourself.",1,1,1,1,
S127,2016-10-04,Dem,It is so painful to suggest that we go back to think about these days where an African-American could not be a citizen of the United States.,0,0,1,1,
S128,2016-10-19,Dem,"In fact, I think just the opposite.",0,0,0,0,
S129,2016-10-09,Dem,I said starting back in June that he was not fit to be president and commander-in-chief.,1,1,0,1,
S130,2020-10-22,Dem,"You have to get/have a partner in China, it is 51%.",0,0,0,0,
S131,2016-10-19,Dem,"And I’d be happy to compare what we do with the Trump Foundation, which took money from other people and bought a six-foot portrait of Donald.",1,1,0,0,
S132,2016-10-04,Dem,"He built a business career, in the words of one of his own campaign staffers, “off the backs of the little guy.” And as a candidate, he started his campaign with a speech where he called Mexicans rapists and criminals, and he has pursued the discredited and really outrageous lie that President Obama wasn’t born in the United States.",1,1,1,1,
S133,2020-10-22,Dem,The only guy that made money from China is this guy.,1,1,0,0,
S134,2016-09-26,Dem,"So we’re now on the precipice of having a potentially much better economy, but the last thing we need to do is to go back to the policies that failed us in the first place.",0,1,0,0,
S135,2016-09-26,Rep,I want you to be very happy.,0,0,0,0,
S136,2020-09-29,Dem,"It’s only for those people who are so poor they qualify for Medicaid they can get that free in most States, except Governors who want to deny people who are poor Medicaid.",0,1,0,1,
S137,2020-09-29,Dem,"Those people who have been saving our lives, those people who have been out there dying.",0,0,0,0,
S138,2012-10-16,Dem,"And what I want to do, is build on the five million jobs that we’ve created over the last 30 months in the private sector alone.",0,0,0,0,
S139,2016-10-19,Dem,"And, you know, one of the biggest problems we have with China is the illegal dumping of steel and aluminum into our markets.",0,1,0,0,
S140,2016-10-09,Rep,I don’t think you understood what was—this was locker room talk.,0,1,0,0,
S141,2016-09-26,Rep,"So you say to yourself, why didn’t they make the right deal?",0,1,0,0,
S142,2016-10-19,Rep,"I will say this: It will go back to the states, and the states will then make a determination.",0,0,0,0,
S143,2016-09-26,Rep,"But if you think you’re going to make your air conditioners or your cars or your cookies or whatever you make and bring them into our country without a tax, you’re wrong.",1,1,0,0,
S144,2012-10-16,Rep,"What I was saying is, we’re not going to round up 12 million people, undocumented illegals, and take them out of the nation.",0,0,0,0,
S145,2016-10-09,Rep,"With her, it’s all talk and no action.",1,1,0,0,
S146,2020-09-29,Rep,"You did a crime bill, 1994, where you called them super-predators.",1,1,1,1,
S147,2016-10-19,Rep,"And people, Chris, will again go back to work and they’ll make a lot of money.",0,0,0,0,
S148,2016-10-09,Dem,"To go back to the very, very first question.",0,0,0,0,
S149,2008-10-07,Rep,"And if you do the math, those people who have employer-based health benefits, if you put the tax on it and you have what’s left over and you add $5,000 that you’re going to get as a refundable tax credit, do the math, 95 percent of the American people will have increased funds to go out and buy the insurance of their choice and to shop around and to get — all of those people will be covered except for those who have these gold-plated Cadillac kinds of policies.",0,0,0,0,
S150,2008-10-07,Rep,"He starts saying, government will do this and government will do that, and then government will, and he’ll impose mandates.",0,1,0,0,
S151,2016-10-19,Dem,"… unfit, and he proves it every time he talks.",1,1,0,1,
S152,2020-10-22,Dem,And we’re going to continue to do it so we can control them.,0,1,0,0,
S153,2016-10-04,Dem,By trashing all Syrians or trashing all Muslims?,0,1,1,1,
S154,2012-10-16,Rep,"What I was saying is, we’re not going to round up 12 million people, undocumented illegals, and take them out of the nation.",0,0,0,0,
S155,2016-09-26,Rep,So is it President Obama’s fault?,0,1,0,0,
S156,2016-10-04,Dem,"They made an illegal contribution, and then they tried to hide it by disguising it to somebody else.",1,1,0,0,
S157,2012-10-03,Dem,"But I have said that for incomes over $250,000 a year, that we should go back to the rates that we had when Bill Clinton was president, when we created 23 million new jobs, went from deficit to surplus, and created a whole lot of millionaires to boot.",0,0,0,0,
S158,2012-10-16,Dem,"But what I’ve also says is for above $250,000, we can go back to the tax rates we had when Bill Clinton was president.",0,0,0,0,
S159,2020-10-22,Rep,"And I’ve changed without having a specific — we got rid of catch and release, we got rid of a lot of horrible things that they put in and that they lived with.",1,1,0,1,
S160,2016-10-09,Rep,"We have a divided nation, because people like her—and believe me, she has tremendous hate in her heart.",0,1,1,1,
S161,2008-10-15,Rep,"Now, 95 percent of the people in America will receive more money under my plan because they will receive not only their present benefits, which may be taxed, which will be taxed, but then you add $5,000 onto it, except for those people who have the gold-plated Cadillac insurance policies that have to do with cosmetic surgery and transplants and all of those kinds of things.",0,0,0,0,
S162,2012-10-16,Rep,"Yeah, I’m not in favor of new pieces of legislation on — on guns and taking guns away or making certain guns illegal.",0,0,0,0,
S163,2016-10-09,Rep,"He won’t use the term “radical Islamic terrorism.” Now, to solve a problem, you have to be able to state what the problem is or at least say the name.",1,1,0,1,
S164,2016-10-04,Rep,But let me go back to this Iran thing.,0,0,0,0,
S165,2016-10-19,Dem,"Well, you know, once again, Donald is implying that he didn’t support the invasion of Iraq.",1,1,0,0,
S166,2020-09-29,Dem,"Number two, we’re going to make sure that those people who want to vote in person are able to vote because there are enough poll watchers are there to make sure they can socially distance.",0,0,0,0,
S167,2020-10-22,Dem,"You have to get/have a partner in China, it is 51%.",0,0,0,0,
S168,2016-10-04,Dem,I’m not sure he could stand up so tough to the people who have loaned him money.,1,1,0,0,
S169,2012-10-11,Rep,"His lifetime of experience, his proven track record of bipartisanship.",0,0,0,0,
S170,2016-10-19,Rep,"We take care of illegal immigrants, people that come into the country illegally, better than we take care of our vets.",0,1,0,1,
S171,2020-10-22,Rep,"Well, let me respond to the first part, as Joe answered.",0,0,0,0,
S172,2016-10-04,Rep,Donald Trump’s laid out a plan to end illegal immigration once and for all in this country.,0,0,0,0,
S173,2016-09-26,Dem,And the Russians need to understand that.,0,1,0,0,
S174,2016-10-04,Dem,When Donald Trump says women should be punished or Mexicans are rapists and criminals…,0,1,1,1,
S175,2016-10-19,Rep,But we don’t use those people.,0,0,0,0,
S176,2012-10-22,Rep,This can’t go on.,0,0,0,1,
S177,2016-10-09,Rep,"Hillary Clinton, in terms of having people come into our country, we have many criminal illegal aliens.",0,0,0,1,
S178,2016-10-19,Dem,"… before the invasion, he supported it.",0,1,0,0,
S179,2016-10-19,Rep,Those people—I don’t know those people.,0,0,0,0,
S180,2016-10-19,Rep,Those people—I don’t know those people.,0,0,0,0,
S181,2020-10-22,Dem,The fact of the matter is there is institutional racism in America.,0,0,0,0,
S182,2016-09-26,Rep,"When you have your staff taking the Fifth Amendment, taking the Fifth so they’re not prosecuted, when you have the man that set up the illegal server taking the Fifth, I think it’s disgraceful.",1,1,1,1,
S183,2016-09-26,Dem,"So we’re now on the precipice of having a potentially much better economy, but the last thing we need to do is to go back to the policies that failed us in the first place.",0,1,0,0,
S184,2012-10-11,Dem,"The fact is, we went there for one reason: to get those people who killed Americans, Al Qaida.",0,0,0,1,
S185,2020-10-22,Rep,"You were vice president, along with Obama as your President, your leader, for eight years.",1,0,0,0,
S186,2016-10-04,Dem,And yet she stood up to them on issues such as Syria and their invasion of Georgia.,0,0,0,0,
S187,2008-10-07,Dem,Nobody called for the invasion of Pakistan.,0,0,0,0,
S188,2020-09-29,Rep,We have to go back to the core values of this country.,0,0,0,0,
S189,2016-10-09,Dem,But the Middle East still controls a lot of the prices.,0,0,0,0,
S190,2012-10-03,Dem,"But let’s go back to what Governor Romney indicated, that under his plan, he would be able to cover people with preexisting conditions.",0,0,0,0,
S191,2016-09-26,Rep,"At the same time, we have to be prepared.",0,0,0,0,
S192,2008-10-15,Rep,"Let’s take 300 of that billion and go in and buy those home loan mortgages and negotiate with those people in their homes, 11 million homes or more, so that they can afford to pay the mortgage, stay in their home.",0,0,0,0,
S193,2020-10-22,Dem,The only guy that made money from China is this guy.,1,1,0,0,
S194,2016-10-19,Dem,"But it is clear, when you look at what Donald has been proposing, he started his campaign bashing immigrants, calling Mexican immigrants rapists and criminals and drug dealers, that he has a very different view about what we should do to deal with immigrants.",0,1,1,1,
S195,2020-09-29,Rep,They take ’em.,0,0,0,0,
S196,2012-10-16,Dem,The last thing we need to do is to go back to the very same policies that got us there.,0,0,0,0,
S197,2020-10-22,Rep,Go back and look at the records.,0,1,0,0,
S198,2020-10-22,Dem,"And again, I go back to this, he had nothing.",0,1,0,0,
S199,2008-10-15,Rep,"Let’s take 300 of that billion and go in and buy those home loan mortgages and negotiate with those people in their homes, 11 million homes or more, so that they can afford to pay the mortgage, stay in their home.",0,0,0,0,
S200,2016-10-04,Dem,"It’s, first, dramatically expanding our intelligence capacities by hiring great professionals, but also we’ve got some of the best intel and cyber employees in the world right here in the United States working for many of our private sector companies.",0,0,0,0,
S201,2020-10-22,Dem,"And again, I go back to this, he had nothing.",0,1,0,0,
S202,2012-10-03,Rep,And then that number disappears for high-income people.,0,0,0,0,
S203,2016-10-09,Rep,How—why would these people stay there?,0,0,0,0,
S204,2016-09-26,Dem,You shouldn’t have a profit motivation to fill prison cells with young Americans.,0,1,1,1,
S205,2016-10-09,Dem,"We saw him after the first debate spend nearly a week denigrating a former Miss Universe in the harshest, most personal terms.",0,1,1,1,
S206,2016-10-19,Rep,"If they overturned it, it will go back to the states.",0,0,0,0,
S207,2016-10-04,Dem,You want to — you want to use a big broad brush against Mexicans on that?,1,1,0,1,
S208,2012-10-16,Dem,"But what I’ve also says is for above $250,000, we can go back to the tax rates we had when Bill Clinton was president.",0,0,0,0,
S209,2012-10-16,Dem,"And that is, I want to give middle-class families and folks who are striving to get into the middle-class some relief.",0,0,0,0,
S210,2016-09-26,Rep,"And we need law and order in the inner cities, because the people that are most affected by what’s happening are African-American and Hispanic people.",0,0,0,0,
S211,2012-10-16,Rep,Just going to make a point.,0,0,0,0,
S212,2016-10-19,Rep,"So I’d like to ask you right now, why don’t you give back the money that you’ve taken from certain countries that treat certain groups of people so horribly?",1,1,1,1,
S213,2012-10-11,Dem,I’d like to go back to that.,0,0,0,0,
S214,2016-10-19,Dem,"Well, you know, once again, Donald is implying that he didn’t support the invasion of Iraq.",1,1,0,0,
S215,2016-10-19,Rep,"We take care of illegal immigrants, people that come into the country illegally, better than we take care of our vets.",0,1,0,1,
S216,2016-10-04,Rep,I have to go back to.,0,0,0,0,
S217,2012-10-11,Rep,You deserve better.,0,0,0,0,
S218,2016-10-04,Rep,Donald Trump’s laid out a plan to end illegal immigration once and for all in this country.,0,0,0,0,
S219,2012-10-11,Dem,It cuts education by $450 billion.,0,0,0,0,
S220,2016-10-09,Rep,And it’s a disgrace.,0,0,1,1,
S221,2016-10-19,Rep,"And people, Chris, will again go back to work and they’ll make a lot of money.",0,0,0,0,
S222,2016-10-19,Rep,She shouldn’t be allowed to run.,1,1,0,1,
S223,2012-10-11,Dem,"The fact is, we went there for one reason: to get those people who killed Americans, Al Qaida.",0,0,0,1,
S224,2016-10-04,Dem,When Donald Trump says women should be punished or Mexicans are rapists and criminals…,0,1,1,1,
S225,2008-10-07,Rep,"I left my campaign and suspended it to go back to Washington to make sure that there were additional protections for the taxpayer in the form of good oversight, in the form of taxpayers being the first to be paid back when our economy recovers — and it will recover — and a number of other measures.",0,0,0,0,
S226,2016-10-04,Rep,"Donald Trump has said we’re going to move those people out, people who’ve overstayed their visas.",0,1,0,0,
S227,2020-10-22,Rep,We have to recover.,0,0,0,0,
S228,2008-10-15,Rep,"Now, I know the criticism of this.",0,0,0,0,
S229,2012-10-03,Dem,We use something called Race to the Top.,0,0,0,0,
S230,2020-09-29,Dem,Try to be honest.,1,1,0,0,
S231,2020-10-22,Dem,And we’re going to continue to do it so we can control them.,0,1,0,0,
S232,2020-09-29,Dem,You’re the worst president America has ever had.,1,1,1,0,
S233,2016-09-26,Dem,"Of course, we are 5 percent of the world’s population; we have to trade with the other 95 percent.",0,0,0,0,
S234,2016-10-04,Rep,"Well, Germany just arrested three Syrian refugees that were connected to ISIS.",0,0,0,1,
S235,2016-10-09,Dem,He stuck with me.,0,0,0,0,
S236,2012-10-11,Rep,"After my dad died, my mom and I got Social Security survivors benefits, helped me pay for college, it helped her go back to college in her 50s where she started a small business because of the new skills she got.",0,0,0,0,
S237,2012-10-16,Dem,"Now, there are some other issues that have a bearing on how women succeed in the workplace.",0,0,0,0,
S238,2012-10-11,Rep,The man has slaughtered tens of thousands of his own people.,0,0,1,1,
S239,2020-10-22,Dem,"He embraces guys like the thugs like in North Korea, and, and, and the Chinese president and Putin and others, and he pokes his finger in the eye of all our friends, all of our allies.",1,1,1,1,
S240,2016-10-04,Rep,"Donald Trump has said we’re going to move those people out, people who’ve overstayed their visas.",0,1,0,0,
S241,2016-10-04,Rep,We’re going to — we’re going to go back to the days of peace through strength.,0,0,0,0,
S242,2016-10-09,Rep,And she didn’t.,0,1,0,0,
S243,2012-10-03,Rep,They’re suffering in this country.,0,0,0,0,
S244,2016-10-04,Rep,There’s a question that you asked a little bit earlier that I want to go back to.,0,0,0,0,
S245,2016-10-04,Dem,"… to Donald Trump apologizing for calling women slobs, pigs, dogs, disgusting.",0,1,1,1,
S246,2016-10-04,Rep,"Border security, removing criminal aliens, upholding with law, and then — but then, Senator, I’ll work you when you go back to the Senate, I promise you, we’ll work with you to reform the immigration system.",0,1,0,1,
S247,2016-10-19,Rep,"Well, first of all, those stories have been largely debunked.",0,1,0,0,
S248,2008-10-07,Dem,"And the reason that it’s a problem to go shopping state by state, you know what insurance companies will do?",0,0,0,0,
S249,2020-09-29,Dem,"Close your eyes, remember what those people look like coming out of the fields, carrying torches, their veins bulging, spewing–just spewing anti-Semitic bile and accompanied by the Ku Klux Klan.",0,0,1,1,
S250,2020-10-22,Dem,"My responses is, he is xenophobic but not because he shut down access from China.",0,1,1,1,
S251,2012-10-03,Dem,"But let’s go back to what Governor Romney indicated, that under his plan, he would be able to cover people with preexisting conditions.",0,0,0,0,
S252,2012-10-16,Rep,I won’t put in place magnets for people coming here illegally.,0,0,0,0,
S253,2020-10-22,Dem,"The standard is, if you have a reproduction rate in a community that’s above a certain level, everybody says, slow up.",0,0,0,0,
S254,2020-09-29,Rep,When COVID came along.,0,0,0,0,
